ID;Event;Title;Role;Date;EventName;EventType
14a-037_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.963;Round approved;Task
14a-037_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:35.830;Inform application of board review;Task
14a-037_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.290;Round approved;Task
14a-037_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.567;Reject;Task
14a-037_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:48.080;Applicant informed;Task
14a-037_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:14.340;Change phase to Abort;Task
14a-038_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-02 21:37:43.413;Fill out application;Task
14a-038_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-24 18:34:44.197;Approved - to board;Task
14a-038_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-24 18:34:47.453;Change phase to Review;Task
14a-038_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-01-30 16:33:35.717;Register Decision;Task
14a-038_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-01-30 16:34:04.737;Change phase to Board meeting;Task
14a-038_0;DL_WFCaseTypeStep|477;Reject;ls;2014-03-09 21:50:52.410;Reject;Task
14a-038_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 12:01:55.597;Lawyer Review;Task
14a-038_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:26:44.757;Review;Task
14a-038_0;DL_WFCaseTypeStep|473;Review;br;2014-03-16 20:49:25.100;Review;Task
14a-038_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 22:18:11.530;Architect Review;Task
14a-038_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 12:11:52.270;Register Decision;Task
14a-038_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 12:12:02.403;Change phase to Board meeting;Task
14a-038_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.037;Round ends;Task
14a-038_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-10 18:05:01.640;Applicant informed;Task
14a-038_0;DL_WFCaseTypeStep|538;Change phase to Abort;ls;2014-04-10 18:05:07.210;Change phase to Abort;Task
14a-039_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-03 16:48:45.023;Fill out application;Task
14a-039_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-24 18:35:44.797;Approved - to board;Task
14a-039_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-24 18:35:46.403;Change phase to Review;Task
14a-039_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 11:57:45.060;Lawyer Review;Task
14a-039_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:26:31.303;Review;Task
14a-039_0;DL_WFCaseTypeStep|473;Review;br;2014-03-22 22:58:37.100;Review;Task
14a-039_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 22:17:01.223;Architect Review;Task
14a-039_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 12:19:46.697;Register Decision;Task
14a-039_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 12:20:04.023;Change phase to Board meeting;Task
14a-039_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-03-27 12:47:43.980;Inform application of board review;Task
14a-039_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.037;Round ends;Task
14a-039_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.963;Round approved;Task
14a-039_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.293;Round approved;Task
14a-039_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.567;Reject;Task
14a-039_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-16 20:17:17.530;Applicant informed;Task
14a-039_0;DL_WFCaseTypeStep|538;Change phase to Abort;ANONYMOUS LOGON;2014-04-16 20:17:21.840;Change phase to Abort;Task
14a-042_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-04 22:14:32.950;Fill out application;Task
14a-042_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-24 19:52:47.277;Approved - to board;Task
14a-042_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-24 19:52:51.450;Change phase to Review;Task
14a-042_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:25:06.460;Architect Review;Task
14a-042_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:24:47.377;Review;Task
14a-042_0;DL_WFCaseTypeStep|473;Review;br;2014-03-23 10:07:05.933;Review;Task
14a-042_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:19:28.927;Lawyer Review;Task
14a-042_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:34:24.403;Register Decision;Task
14a-042_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:35:07.313;Change phase to Board meeting;Task
14a-042_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.040;Round ends;Task
14a-042_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.967;Round approved;Task
14a-042_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:36.027;Inform application of board review;Task
14a-042_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.297;Round approved;Task
14a-042_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.570;Reject;Task
14a-042_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:48.350;Applicant informed;Task
14a-042_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:18.023;Change phase to Abort;Task
14a-043_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-04 23:48:00.793;Fill out application;Task
14a-043_0;DL_WFCaseTypeStep|470;Screening reject;ls;2014-01-24 19:55:14.150;Screening reject;Task
14a-043_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.040;Round ends;Task
14a-043_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-10 17:59:32.827;Applicant informed;Task
14a-043_0;DL_WFCaseTypeStep|538;Change phase to Abort;ls;2014-04-10 17:59:38.160;Change phase to Abort;Task
14a-045_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-05 20:07:10.087;Fill out application;Task
14a-045_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-24 19:56:16.120;Approved - to board;Task
14a-045_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-24 19:56:17.610;Change phase to Review;Task
14a-045_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 11:46:53.517;Lawyer Review;Task
14a-045_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:24:14.180;Review;Task
14a-045_0;DL_WFCaseTypeStep|473;Review;br;2014-03-16 23:00:36.500;Review;Task
14a-045_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 22:13:47.437;Architect Review;Task
14a-045_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:15:39.373;Register Decision;Task
14a-045_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:16:05.057;Change phase to Board meeting;Task
14a-045_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.043;Round ends;Task
14a-045_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.967;Round approved;Task
14a-045_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:36.153;Inform application of board review;Task
14a-045_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.297;Round approved;Task
14a-045_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.570;Reject;Task
14a-045_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-28 11:49:57.250;Applicant informed;Task
14a-045_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-28 11:50:07.290;Change phase to Abort;Task
14a-047_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-05 22:10:33.873;Fill out application;Task
14a-047_0;DL_WFCaseTypeStep|470;Screening reject;ls;2014-01-24 20:04:01.310;Screening reject;Task
14a-047_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.043;Round ends;Task
14a-047_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-10 21:49:20.963;Applicant informed;Task
14a-047_0;DL_WFCaseTypeStep|538;Change phase to Abort;ls;2014-04-10 21:49:41.147;Change phase to Abort;Task
14a-052_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-06 12:41:19.867;Fill out application;Task
14a-052_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-24 19:58:07.773;Approved - to board;Task
14a-052_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-24 19:58:09.747;Change phase to Review;Task
14a-052_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 11:25:08.513;Lawyer Review;Task
14a-052_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:23:36.707;Review;Task
14a-052_0;DL_WFCaseTypeStep|473;Review;br;2014-03-16 23:09:25.320;Review;Task
14a-052_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 22:13:21.327;Architect Review;Task
14a-052_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:16:15.113;Register Decision;Task
14a-052_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:17:05.187;Change phase to Board meeting;Task
14a-052_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.047;Round ends;Task
14a-052_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.970;Round approved;Task
14a-052_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:36.463;Inform application of board review;Task
14a-052_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.313;Round approved;Task
14a-052_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.573;Reject;Task
14a-052_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-28 11:49:57.570;Applicant informed;Task
14a-052_0;DL_WFCaseTypeStep|538;Change phase to Abort;ANONYMOUS LOGON;2014-04-28 11:50:08.183;Change phase to Abort;Task
14a-056_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-06 20:53:45.617;Fill out application;Task
14a-056_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-27 18:00:06.920;Approved - to board;Task
14a-056_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-27 18:00:08.667;Change phase to Review;Task
14a-056_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:16:00.083;Architect Review;Task
14a-056_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:23:35.177;Review;Task
14a-056_0;DL_WFCaseTypeStep|473;Review;br;2014-03-23 10:31:30.167;Review;Task
14a-056_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:17:22.677;Lawyer Review;Task
14a-056_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:35:59.977;Register Decision;Task
14a-056_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:36:07.120;Change phase to Board meeting;Task
14a-056_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.050;Round ends;Task
14a-056_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.970;Round approved;Task
14a-056_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:36.713;Inform application of board review;Task
14a-056_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.317;Round approved;Task
14a-056_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.580;Reject;Task
14a-056_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:48.637;Applicant informed;Task
14a-056_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:21.483;Change phase to Abort;Task
14a-060_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-07 14:16:13.453;Fill out application;Task
14a-060_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-01-27 18:01:58.010;Approved - to board;Task
14a-060_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-01-27 18:02:00.310;Change phase to Review;Task
14a-060_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:13:33.970;Architect Review;Task
14a-060_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:23:21.390;Review;Task
14a-060_0;DL_WFCaseTypeStep|473;Review;br;2014-03-23 10:33:04.200;Review;Task
14a-060_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:16:57.743;Lawyer Review;Task
14a-060_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:36:25.370;Register Decision;Task
14a-060_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:37:03.473;Change phase to Board meeting;Task
14a-060_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.050;Round ends;Task
14a-060_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.970;Round approved;Task
14a-060_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:36.900;Inform application of board review;Task
14a-060_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.317;Round approved;Task
14a-060_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.580;Reject;Task
14a-060_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:48.913;Applicant informed;Task
14a-060_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:24.743;Change phase to Abort;Task
14a-069_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-08 20:46:14.210;Fill out application;Task
14a-069_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-02-09 16:59:40.150;Approved - to board;Task
14a-069_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-02-09 16:59:42.533;Change phase to Review;Task
14a-069_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-05 19:10:43.703;Architect Review;Task
14a-069_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-10 12:23:00.457;Review;Task
14a-069_0;DL_WFCaseTypeStep|473;Review;br;2014-03-23 10:40:37.597;Review;Task
14a-069_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:15:26.620;Lawyer Review;Task
14a-069_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:38:02.220;Register Decision;Task
14a-069_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:39:02.300;Change phase to Board meeting;Task
14a-069_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.060;Round ends;Task
14a-069_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.973;Round approved;Task
14a-069_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:37.467;Inform application of board review;Task
14a-069_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.323;Round approved;Task
14a-069_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.587;Reject;Task
14a-069_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-29 09:59:49.193;Applicant informed;Task
14a-069_0;DL_WFCaseTypeStep|538;Change phase to Abort;suser;2014-04-29 10:00:28.023;Change phase to Abort;Task
14a-070_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-08 22:32:28.300;Fill out application;Task
14a-070_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-02-09 17:01:00.507;Approved - to board;Task
14a-070_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-02-09 17:01:01.953;Change phase to Review;Task
14a-070_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 09:39:18.127;Lawyer Review;Task
14a-070_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:21:15.100;Review;Task
14a-070_0;DL_WFCaseTypeStep|473;Review;br;2014-03-17 23:02:27.863;Review;Task
14a-070_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 21:23:01.113;Architect Review;Task
14a-070_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 11:57:13.127;Register Decision;Task
14a-070_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 11:58:01.653;Change phase to Board meeting;Task
14a-070_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 14:28:59.210;Register Decision;Task
14a-070_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 14:29:01.477;Change phase to Board meeting;Task
14a-070_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 14:30:28.537;Register Decision;Task
14a-070_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 14:31:01.220;Change phase to Board meeting;Task
14a-070_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.060;Round ends;Task
14a-070_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.973;Round approved;Task
14a-070_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:37.530;Inform application of board review;Task
14a-070_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.323;Round approved;Task
14a-070_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.590;Reject;Task
14a-070_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-28 12:23:47.277;Applicant informed;Task
14a-070_0;DL_WFCaseTypeStep|538;Change phase to Abort;ANONYMOUS LOGON;2014-04-28 12:24:01.187;Change phase to Abort;Task
14a-072_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-09 11:39:34.290;Fill out application;Task
14a-072_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-02-09 17:01:28.413;Approved - to board;Task
14a-072_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-02-09 17:01:30.763;Change phase to Review;Task
14a-072_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-17 19:26:05.697;Architect Review;Task
14a-072_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-18 13:40:41.930;Review;Task
14a-072_0;DL_WFCaseTypeStep|473;Review;br;2014-03-23 10:44:56.160;Review;Task
14a-072_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-25 22:14:45.940;Lawyer Review;Task
14a-072_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 09:38:41.717;Register Decision;Task
14a-072_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 09:39:05.610;Change phase to Board meeting;Task
14a-072_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.060;Round ends;Task
14a-072_0;DL_WFCaseTypeStep|485;Round approved;ANONYMOUS LOGON;2014-04-15 14:50:49.977;Round approved;Task
14a-072_0;DL_WFCaseTypeStep|539;Inform application of board review;ls;2014-04-16 10:36:37.657;Inform application of board review;Task
14a-072_0;DL_WFCaseTypeStep|485;Round approved;administrator;2014-04-16 19:25:05.327;Round approved;Task
14a-072_0;DL_WFCaseTypeStep|477;Reject;administrator;2014-04-16 19:25:05.590;Reject;Task
14a-072_0;DL_WFCaseTypeStep|486;Applicant informed;ls;2014-04-28 14:13:11.330;Applicant informed;Task
14a-072_0;DL_WFCaseTypeStep|538;Change phase to Abort;ANONYMOUS LOGON;2014-04-28 14:13:38.763;Change phase to Abort;Task
14a-075_0;DL_WFCaseTypeStep|497;Fill out application;Ansøger;2014-01-09 12:45:29.917;Fill out application;Task
14a-075_0;DL_WFCaseTypeStep|469;Approved - to board;ls;2014-02-09 17:02:09.830;Approved - to board;Task
14a-075_0;DL_WFCaseTypeStep|518;Change phase to Review;ANONYMOUS LOGON;2014-02-09 17:02:11.340;Change phase to Review;Task
14a-075_0;DL_WFCaseTypeStep|471;Lawyer Review;cbc;2014-03-13 09:14:42.230;Lawyer Review;Task
14a-075_0;DL_WFCaseTypeStep|474;Review;bry;2014-03-13 13:20:47.570;Review;Task
14a-075_0;DL_WFCaseTypeStep|473;Review;br;2014-03-17 23:10:42.390;Review;Task
14a-075_0;DL_WFCaseTypeStep|472;Architect Review;mp;2014-03-23 22:01:13.960;Architect Review;Task
14a-075_0;DL_WFCaseTypeStep|475;Register Decision;ls;2014-03-27 12:25:00.657;Register Decision;Task
14a-075_0;DL_WFCaseTypeStep|519;Change phase to Board meeting;suser;2014-03-27 12:25:05.520;Change phase to Board meeting;Task
14a-075_0;DL_WFCaseTypeStep|510;Round ends;suser;2014-04-09 03:00:05.063;Round ends;Task
